1	1
6	5	4	O
6	7	4	X	1
7	0	0	X	1
7	1	0	X	1
7	2	0	X	1
7	3	0	X	1
7	4	0	X	1
7	5	0	X	1
7	6	0	X	1
7	7	0	X	1
7	7	1	X	1
7	7	2	X	1
7	7	3	X	1
7	7	4	X	1

3	1
3	5	4	O
1	5	0	M	2
2	1	0	Y	1
3	3	0	Y	2
3	6	0	M	1
5	7	0	G	2
6	3	0	G	1
6	3	1	R	1
6	3	2	X	2

3	2
1	5	4	C
1	5	4	M	2
2	1	0	Y	1
3	3	0	Y	2
3	6	0	M	1
5	7	0	G	2
6	3	0	G	1
6	3	1	R	1
6	3	2	X	2

3	3
5	7	4	C
1	5	0	M	2
2	1	0	Y	1
3	3	0	Y	2
3	6	0	M	1
5	7	4	G	2
6	3	0	G	1
6	3	1	R	1
6	3	2	X	2

3	4
2	1	7	C
1	5	0	M	2
2	1	7	Y	1
3	3	0	Y	2
3	6	0	M	1
5	7	0	G	2
6	3	0	G	1
6	3	1	R	1
6	3	2	X	2

3	5
6	3	4	C
1	5	0	M	2
2	1	0	Y	1
3	3	0	Y	2
3	6	0	M	1
5	7	0	G	2
6	3	0	G	1
6	3	1	R	1
6	3	4	X	2

4	1
4	6	7	O
0	0	0	B	1
0	1	0	B	1
0	6	0	R	1
0	7	0	R	1
0	7	1	M	2
1	0	0	B	1
1	0	1	G	2
1	1	0	B	1
1	6	0	R	1
1	7	0	R	1
2	0	0	B	1
2	1	0	B	1
2	6	0	R	1
2	7	0	R	1
2	7	1	G	2
3	0	0	B	1
3	0	1	X	2
3	1	0	B	1
3	6	0	R	1
3	7	0	R	1
4	0	0	B	1
4	1	0	B	1
4	6	0	R	1
4	7	0	R	1
5	0	0	B	1
5	1	0	B	1
5	6	0	R	1
5	7	0	R	1
5	7	1	Y	2
6	0	0	B	1
6	0	1	Y	2
6	1	0	B	1
6	6	0	R	1
6	7	0	R	1
7	0	0	B	1
7	1	0	B	1
7	6	0	R	1
7	7	0	R	1

4	2
6	1	5	O
0	0	0	B	1
0	1	0	B	1
0	6	0	R	1
0	7	0	R	1
1	0	0	B	1
1	0	1	G	2
1	1	0	B	1
1	6	0	R	1
1	7	0	R	1
2	0	0	B	1
2	1	0	B	1
2	6	0	R	1
2	7	0	R	1
2	7	1	G	2
3	0	0	B	1
3	0	1	X	2
3	1	0	B	1
3	6	0	R	1
3	7	0	R	1
4	0	0	B	1
4	1	0	B	1
4	6	0	R	1
4	7	0	R	1
5	0	0	B	1
5	1	0	B	1
5	6	0	R	1
5	7	0	R	1
5	7	1	Y	2
6	0	0	B	1
6	0	1	Y	2
6	1	0	B	1
6	1	1	M	2
6	6	0	R	1
6	7	0	R	1
7	0	0	B	1
7	1	0	B	1
7	6	0	R	1
7	7	0	R	1

4	3
3	7	4	O
0	0	0	B	1
0	1	0	B	1
0	6	0	R	1
0	7	0	R	1
0	7	1	M	2
1	0	0	B	1
1	1	0	B	1
1	6	0	R	1
1	7	0	R	1
2	0	0	B	1
2	1	0	B	1
2	6	0	R	1
2	7	0	R	1
2	7	1	G	2
3	0	0	B	1
3	0	1	X	2
3	1	0	B	1
3	6	0	R	1
3	7	0	R	1
3	7	1	G	2
4	0	0	B	1
4	1	0	B	1
4	6	0	R	1
4	7	0	R	1
5	0	0	B	1
5	1	0	B	1
5	6	0	R	1
5	7	0	R	1
5	7	1	Y	2
6	0	0	B	1
6	0	1	Y	2
6	1	0	B	1
6	6	0	R	1
6	7	0	R	1
7	0	0	B	1
7	1	0	B	1
7	6	0	R	1
7	7	0	R	1

4	4
4	4	7	O
0	0	0	B	1
0	1	0	B	1
0	6	0	R	1
0	7	0	R	1
0	7	1	M	2
1	0	0	B	1
1	0	1	G	2
1	1	0	B	1
1	6	0	R	1
1	7	0	R	1
2	0	0	B	1
2	1	0	B	1
2	6	0	R	1
2	7	0	R	1
2	7	1	G	2
3	0	0	B	1
3	0	1	X	2
3	1	0	B	1
3	6	0	R	1
3	7	0	R	1
4	0	0	B	1
4	1	0	B	1
4	4	0	Y	2
4	6	0	R	1
4	7	0	R	1
5	0	0	B	1
5	1	0	B	1
5	6	0	R	1
5	7	0	R	1
5	7	1	Y	2
6	0	0	B	1
6	1	0	B	1
6	6	0	R	1
6	7	0	R	1
7	0	0	B	1
7	1	0	B	1
7	6	0	R	1
7	7	0	R	1

4	5
3	1	7	O
0	0	0	B	1
0	1	0	B	1
0	6	0	R	1
0	7	0	R	1
1	0	0	B	1
1	0	1	G	2
1	1	0	B	1
1	6	0	R	1
1	7	0	R	1
2	0	0	B	1
2	1	0	B	1
2	6	0	R	1
2	7	0	R	1
2	7	1	G	2
3	0	0	B	1
3	0	1	X	2
3	1	0	B	1
3	1	1	M	2
3	6	0	R	1
3	7	0	R	1
4	0	0	B	1
4	1	0	B	1
4	6	0	R	1
4	7	0	R	1
5	0	0	B	1
5	1	0	B	1
5	6	0	R	1
5	7	0	R	1
5	7	1	Y	2
6	0	0	B	1
6	0	1	Y	2
6	1	0	B	1
6	6	0	R	1
6	7	0	R	1
7	0	0	B	1
7	1	0	B	1
7	6	0	R	1
7	7	0	R	1

5	1
4	4	7	O
1	2	0	C	1
1	3	0	C	1
1	3	1	R	1
1	3	2	G	1
1	4	0	C	1
1	5	0	C	1
2	2	0	C	1
2	3	0	C	1
2	4	0	C	1
2	5	0	C	1
5	2	0	Y	1
5	3	0	Y	1
5	4	0	Y	1
5	5	0	Y	1
5	5	1	R	1
5	5	2	G	1
6	2	0	Y	1
6	3	0	Y	1
6	4	0	Y	1
6	5	0	Y	1

5	2
1	3	5	O
1	2	0	C	1
1	3	0	C	1
1	3	1	R	1
1	3	2	G	1
1	3	3	G	1
1	4	0	C	1
1	5	0	C	1
2	2	0	C	1
2	3	0	C	1
2	4	0	C	1
2	5	0	C	1
5	2	0	Y	1
5	3	0	Y	1
5	4	0	Y	1
5	5	0	Y	1
5	5	1	R	1
6	2	0	Y	1
6	3	0	Y	1
6	4	0	Y	1
6	5	0	Y	1

5	3
5	5	7	O
1	2	0	C	1
1	3	0	C	1
1	3	1	R	1
1	4	0	C	1
1	5	0	C	1
2	2	0	C	1
2	3	0	C	1
2	4	0	C	1
2	5	0	C	1
5	2	0	Y	1
5	3	0	Y	1
5	4	0	Y	1
5	5	0	Y	1
5	5	1	R	1
5	5	2	G	1
5	5	3	G	1
6	2	0	Y	1
6	3	0	Y	1
6	4	0	Y	1
6	5	0	Y	1

5	4
5	2	5	O
1	2	0	C	1
1	3	0	C	1
1	3	1	R	1
1	4	0	C	1
1	5	0	C	1
2	2	0	C	1
2	3	0	C	1
2	4	0	C	1
2	5	0	C	1
5	2	0	Y	1
5	2	1	G	1
5	3	0	Y	1
5	4	0	Y	1
5	5	0	Y	1
5	5	1	R	1
5	5	2	G	1
6	2	0	Y	1
6	3	0	Y	1
6	4	0	Y	1
6	5	0	Y	1

5	5
7	7	6	O
1	2	0	C	1
1	3	0	C	1
1	3	1	R	1
1	3	2	G	1
1	4	0	C	1
1	5	0	C	1
2	3	0	C	1
2	4	0	C	1
2	5	0	C	1
5	2	0	Y	1
5	3	0	Y	1
5	4	0	Y	1
5	5	0	Y	1
5	5	1	R	1
5	5	2	G	1
6	2	0	Y	1
6	3	0	Y	1
6	4	0	Y	1
6	5	0	Y	1
7	7	0	C	1

6	1
6	4	6	O
1	2	0	B	2
1	3	0	W	2
1	4	0	G	2
1	5	0	R	2
1	6	0	B	2
4	2	0	B	2
4	3	0	R	2
4	4	0	Y	2
4	5	0	W	2
4	6	0	B	2

6	2
4	4	6	C
1	2	0	B	2
1	3	0	W	2
1	4	0	G	2
1	5	0	R	2
1	6	0	B	2
4	2	0	B	2
4	3	0	R	2
4	4	6	Y	2
4	5	0	W	2
4	6	0	B	2

6	3
4	6	5	C
1	2	0	B	2
1	3	0	W	2
1	4	0	G	2
1	5	0	R	2
1	6	0	B	2
4	2	0	B	2
4	3	0	R	2
4	4	0	Y	2
4	5	0	W	2
4	6	5	B	2

6	4
1	4	4	C
1	2	0	B	2
1	3	0	W	2
1	4	4	G	2
1	5	0	R	2
1	6	0	B	2
4	2	0	B	2
4	3	0	R	2
4	4	0	Y	2
4	5	0	W	2
4	6	0	B	2

6	5
5	4	6	O
1	3	0	W	2
1	4	0	G	2
1	5	0	R	2
1	6	0	B	2
4	2	0	B	2
4	3	0	R	2
4	4	0	Y	2
4	5	0	W	2
4	6	0	B	2
5	4	0	B	2

7	1
2	7	7	O
0	0	0	Y	1
0	1	0	Y	1
0	2	0	Y	1
0	2	1	R	1
0	3	0	Y	1
0	3	1	R	1
0	6	0	G	1
0	7	0	G	1
1	0	0	Y	1
1	1	0	Y	1
1	2	0	Y	1
1	2	1	R	1
1	3	0	Y	1
1	3	1	R	1
1	6	0	G	1
1	7	0	G	1
2	2	0	R	1
2	2	1	R	1
2	3	0	R	1
2	3	1	R	1
3	2	0	R	1
3	2	1	R	1
3	3	0	R	1
3	3	1	R	1
4	2	0	B	1
4	2	1	R	1
4	3	0	B	1
4	3	1	R	1
4	4	0	B	1
4	6	0	W	1
4	6	1	W	1
4	7	0	W	1
4	7	1	W	1
5	2	0	B	1
5	2	1	R	1
5	3	0	B	1
5	3	1	R	1
5	4	0	B	1
5	6	0	W	1
5	6	1	W	1
5	7	0	W	1
5	7	1	W	1
7	5	0	X	1
7	5	1	R	1
7	5	2	X	1
7	5	3	R	1
7	5	4	X	1
7	5	5	R	1
7	5	6	X	1
7	5	7	R	1

7	2
0	0	3	O
0	0	0	Y	1
0	0	1	G	1
0	1	0	Y	1
0	2	0	Y	1
0	2	1	R	1
0	3	0	Y	1
0	3	1	R	1
0	6	0	G	1
0	7	0	G	1
1	0	0	Y	1
1	1	0	Y	1
1	2	0	Y	1
1	2	1	R	1
1	3	0	Y	1
1	3	1	R	1
1	7	0	G	1
2	2	0	R	1
2	2	1	R	1
2	3	0	R	1
2	3	1	R	1
3	2	0	R	1
3	2	1	R	1
3	3	0	R	1
3	3	1	R	1
4	2	0	B	1
4	2	1	R	1
4	3	0	B	1
4	3	1	R	1
4	4	0	B	1
4	6	0	W	1
4	6	1	W	1
4	7	0	W	1
4	7	1	W	1
5	2	0	B	1
5	2	1	R	1
5	3	0	B	1
5	3	1	R	1
5	4	0	B	1
5	6	0	W	1
5	6	1	W	1
5	7	0	W	1
5	7	1	W	1
7	5	0	X	1
7	5	1	R	1
7	5	2	X	1
7	5	3	R	1
7	5	4	X	1
7	5	5	R	1
7	5	6	X	1
7	5	7	R	1

7	3
0	0	7	O
0	0	0	Y	1
0	0	1	R	1
0	1	0	Y	1
0	2	0	Y	1
0	2	1	R	1
0	3	0	Y	1
0	3	1	R	1
0	6	0	G	1
0	7	0	G	1
1	0	0	Y	1
1	1	0	Y	1
1	2	0	Y	1
1	2	1	R	1
1	3	0	Y	1
1	3	1	R	1
1	6	0	G	1
1	7	0	G	1
2	2	0	R	1
2	2	1	R	1
2	3	0	R	1
2	3	1	R	1
3	2	0	R	1
3	2	1	R	1
3	3	0	R	1
3	3	1	R	1
4	2	0	B	1
4	2	1	R	1
4	3	0	B	1
4	3	1	R	1
4	4	0	B	1
4	6	0	W	1
4	6	1	W	1
4	7	0	W	1
4	7	1	W	1
5	2	0	B	1
5	2	1	R	1
5	3	0	B	1
5	3	1	R	1
5	4	0	B	1
5	6	0	W	1
5	6	1	W	1
5	7	0	W	1
5	7	1	W	1
7	5	0	X	1
7	5	1	R	1
7	5	2	X	1
7	5	3	R	1
7	5	4	X	1
7	5	5	R	1
7	5	6	X	1

7	4
0	7	6	O
0	0	0	Y	1
0	1	0	Y	1
0	2	0	Y	1
0	2	1	R	1
0	3	0	Y	1
0	3	1	R	1
0	6	0	G	1
0	7	0	G	1
0	7	1	W	1
1	0	0	Y	1
1	1	0	Y	1
1	2	0	Y	1
1	2	1	R	1
1	3	0	Y	1
1	3	1	R	1
1	6	0	G	1
1	7	0	G	1
2	2	0	R	1
2	2	1	R	1
2	3	0	R	1
2	3	1	R	1
3	2	0	R	1
3	2	1	R	1
3	3	0	R	1
3	3	1	R	1
4	2	0	B	1
4	2	1	R	1
4	3	0	B	1
4	3	1	R	1
4	4	0	B	1
4	6	0	W	1
4	7	0	W	1
4	7	1	W	1
5	2	0	B	1
5	2	1	R	1
5	3	0	B	1
5	3	1	R	1
5	4	0	B	1
5	6	0	W	1
5	6	1	W	1
5	7	0	W	1
5	7	1	W	1
7	5	0	X	1
7	5	1	R	1
7	5	2	X	1
7	5	3	R	1
7	5	4	X	1
7	5	5	R	1
7	5	6	X	1
7	5	7	R	1

7	5
5	4	5	O
0	0	0	Y	1
0	1	0	Y	1
0	2	0	Y	1
0	2	1	R	1
0	3	0	Y	1
0	3	1	R	1
0	6	0	G	1
0	7	0	G	1
1	0	0	Y	1
1	1	0	Y	1
1	2	0	Y	1
1	2	1	R	1
1	3	0	Y	1
1	3	1	R	1
1	6	0	G	1
1	7	0	G	1
2	2	0	R	1
2	2	1	R	1
2	3	0	R	1
2	3	1	R	1
3	2	0	R	1
3	2	1	R	1
3	3	0	R	1
3	3	1	R	1
4	2	0	B	1
4	2	1	R	1
4	3	0	B	1
4	3	1	R	1
4	4	0	B	1
4	6	0	W	1
4	6	1	W	1
4	7	0	W	1
4	7	1	W	1
5	2	0	B	1
5	3	0	B	1
5	3	1	R	1
5	4	0	B	1
5	4	1	R	1
5	6	0	W	1
5	6	1	W	1
5	7	0	W	1
5	7	1	W	1
7	5	0	X	1
7	5	1	R	1
7	5	2	X	1
7	5	3	R	1
7	5	4	X	1
7	5	5	R	1
7	5	6	X	1
7	5	7	R	1

8	1
2	3	5	O
3	3	0	M	2
3	5	0	M	1
5	1	0	R	1

8	2
3	5	4	O
3	3	0	M	2
3	5	0	M	1
3	5	1	R	1

8	3
5	1	6	O
3	3	0	M	2
5	1	0	R	1
5	1	1	M	1

8	4
5	1	7	O
3	5	0	M	1
5	1	0	R	1
5	1	1	M	2

8	5
2	5	5	O
1	1	0	M	1
3	3	0	M	2
5	1	0	R	1

9	1
3	6	7	O
3	2	0	B	1
3	3	0	B	1
3	3	1	Y	1
3	4	0	B	1
6	5	0	B	1
6	6	0	B	1
6	6	1	Y	1

9	2
3	3	7	O
3	2	0	B	1
3	3	0	B	1
3	3	1	Y	1
3	3	2	Y	1
3	4	0	B	1
6	5	0	B	1
6	6	0	B	1

9	3
6	6	6	O
3	2	0	B	1
3	3	0	B	1
3	4	0	B	1
6	5	0	B	1
6	6	0	B	1
6	6	1	Y	1
6	6	2	Y	1

9	4
6	5	7	O
3	3	0	B	1
3	3	1	Y	1
3	4	0	B	1
6	5	0	B	1
6	5	1	B	1
6	6	0	B	1
6	6	1	Y	1

9	5
0	7	4	O
0	7	0	Y	1
3	2	0	B	1
3	3	0	B	1
3	4	0	B	1
6	5	0	B	1
6	6	0	B	1
6	6	1	Y	1

10	1
5	2	7	O
3	3	0	X	1
3	4	0	R	1
3	5	0	X	1

10	2
3	4	5	C
3	3	0	X	1
3	4	5	R	1
3	5	0	X	1

10	3
3	3	4	C
3	3	4	X	1
3	4	0	R	1
3	5	0	X	1

10	4
3	5	3	C
3	3	0	X	1
3	4	0	R	1
3	5	3	X	1

10	5
4	5	5	O
3	3	0	X	1
3	4	0	R	1
4	5	0	X	1

11	1
6	4	7	O
0	0	0	Y	1
0	0	1	Y	1
0	0	2	Y	1
0	0	3	Y	1
0	1	0	Y	1
0	1	1	Y	1
0	1	2	Y	1
0	1	3	Y	1
0	2	0	Y	1
0	2	1	Y	1
0	2	2	Y	1
0	2	3	Y	1
0	3	0	Y	1
0	3	1	Y	1
0	3	2	Y	1
0	3	3	Y	1
0	4	0	Y	1
0	4	1	Y	1
0	4	2	Y	1
0	4	3	Y	1
0	5	0	Y	1
0	5	1	Y	1
0	5	2	Y	1
0	5	3	Y	1
0	6	0	Y	1
0	6	1	Y	1
0	6	2	Y	1
0	6	3	Y	1
0	7	0	Y	1
0	7	1	Y	1
0	7	2	Y	1
0	7	3	Y	1
1	0	0	G	1
1	1	0	G	1
1	2	0	G	1
1	3	0	G	1
1	4	0	G	1
1	5	0	G	1
1	6	0	G	1
1	7	0	Y	1
1	7	1	Y	1
1	7	2	Y	1
1	7	3	Y	1
2	0	0	G	1
2	1	0	G	1
2	2	0	G	1
2	2	1	G	1
2	3	0	G	1
2	4	0	G	1
2	5	0	G	1
2	6	0	G	1
2	7	0	Y	1
2	7	1	Y	1
2	7	2	Y	1
2	7	3	Y	1
3	0	0	W	1
3	1	0	G	1
3	2	0	W	1
3	3	0	G	1
3	4	0	G	1
3	4	1	G	1
